backbone,id_size,method,implementation_version,n,AUROC,FPR95,AUPR_OUT
dinov2_vitb14,4,openmax,verified_v1,210,0.8697291754505717,0.6192648013535307,0.8384373479404529
dinov2_vitb14,4,rsn_reported,verified_v1,210,0.86812140841518,0.5623001987384348,0.8343814300457122
dinov2_vitb14,4,msp,verified_v1,210,0.8676358199265183,0.6207899339750969,0.8378195922648248
dinov2_vitb14,4,maxlogit,verified_v1,210,0.8661155715891734,0.6165030244936316,0.8374649061655766
dinov2_vitb14,4,gradnorm,verified_v1,210,0.8629199945575718,0.6136200903239559,0.8350464019128276
dinov2_vitb14,4,entropy,verified_v1,210,0.8620462885417476,0.6045617165212398,0.8370042278309104
dinov2_vitb14,4,rsn_paper,verified_v1,210,0.8605791001812708,0.6183918143465876,0.8223204858356139
dinov2_vitb14,4,knn,verified_v1,210,0.8602700986929882,0.6100708373445328,0.8162322002965454
dinov2_vitb14,4,gen,verified_v1,210,0.859947426396055,0.6046789903738382,0.8358711288385731
dinov2_vitb14,4,energy,verified_v1,210,0.8580787029244794,0.6048981661522527,0.8348046834405426
dinov2_vitb14,4,rmd,verified_v1,210,0.8507008389708858,0.564595053226255,0.8431066053493325
dinov2_vitb14,4,scale,verified_v1,210,0.8434185972784862,0.6164179903513803,0.821956577192541
dinov2_vitb14,4,kl_matching,verified_v1,210,0.8366788638839379,0.631001242773472,0.8184572535543371
dinov2_vitb14,4,vim,verified_v1,210,0.8263719475870378,0.7915917013616942,0.7579330172891752
dinov2_vitb14,4,mahalanobis,verified_v1,210,0.8255334391460314,0.7843894060955978,0.7589787739750076
dinov2_vitb14,4,mahalanobispp,verified_v1,210,0.8214658125621178,0.7985951990649789,0.7527562917835461
dinov2_vitb14,4,nci,verified_v1,210,0.8159911669252932,0.7939449275758543,0.7556375423221634
dinov2_vitb14,4,dice,verified_v1,210,0.7733926263753763,0.858160458160768,0.7209283211262233
dinov2_vitb14,4,react,verified_v1,210,0.729789327848026,0.8016846890503213,0.6961433205892549
dinov2_vitb14,4,ashs,verified_v1,210,0.553360384584934,0.9360399518178826,0.5355878280730939
