id_size,method_a,method_b,metric,n,mean_diff,ci_low,ci_high,good_rate
5,rsn_reported,maxlogit,AUPR_OUT,336,0.006406,-0.005696,0.018508,0.485119
5,rsn_reported,msp,AUROC,336,0.001635,-0.005552,0.008822,0.434524
5,rsn_reported,msp,FPR95,336,0.086069,0.062227,0.109911,0.630952
5,rsn_reported,msp,AUPR_OUT,336,0.005603,-0.006298,0.017505,0.485119
5,rsn_reported,nci,AUROC,336,0.037368,0.031555,0.043182,0.767857
5,rsn_reported,nci,FPR95,336,0.167266,0.144805,0.189726,0.78869
5,rsn_reported,nci,AUPR_OUT,336,0.068817,0.058302,0.079333,0.702381
5,rsn_reported,openmax,AUROC,336,-0.003399,-0.0088,0.002002,0.407738
5,rsn_reported,openmax,FPR95,336,0.061139,0.041387,0.080891,0.627976
5,rsn_reported,openmax,AUPR_OUT,336,-0.004254,-0.013411,0.004902,0.440476
5,rsn_reported,psm,AUROC,336,0.036853,0.03403,0.039675,0.985119
5,rsn_reported,psm,FPR95,336,0.172456,0.160614,0.184297,0.997024
5,rsn_reported,psm,AUPR_OUT,336,0.077637,0.072613,0.082661,1.0
5,rsn_reported,react,AUROC,336,0.180906,0.162345,0.199467,0.857143
5,rsn_reported,react,FPR95,336,0.243645,0.219074,0.268216,0.854167
5,rsn_reported,react,AUPR_OUT,336,0.199415,0.18012,0.21871,0.85119
5,rsn_reported,rmd,AUROC,336,0.016582,0.010774,0.02239,0.553571
5,rsn_reported,rmd,FPR95,336,0.006592,-0.013519,0.026704,0.470238
5,rsn_reported,rmd,AUPR_OUT,336,-0.014374,-0.02423,-0.004517,0.39881
5,rsn_reported,scale,AUROC,336,0.015814,0.007176,0.024452,0.470238
5,rsn_reported,scale,FPR95,336,0.075266,0.050098,0.100434,0.595238
5,rsn_reported,scale,AUPR_OUT,336,0.014697,0.001431,0.027963,0.497024
5,rsn_reported,vim,AUROC,336,0.036175,0.033427,0.038923,0.982143
5,rsn_reported,vim,FPR95,336,0.189518,0.177051,0.201985,0.991071
5,rsn_reported,vim,AUPR_OUT,336,0.082122,0.077086,0.087158,1.0
6,rsn_reported,ashb,AUROC,168,0.344399,0.324453,0.364345,0.982143
6,rsn_reported,ashb,FPR95,168,0.30949,0.273107,0.345874,0.946429
6,rsn_reported,ashb,AUPR_OUT,168,0.329823,0.304698,0.354948,0.982143
6,rsn_reported,ashp,AUROC,168,0.306989,0.286082,0.327895,0.97619
6,rsn_reported,ashp,FPR95,168,0.31006,0.274419,0.345702,0.946429
6,rsn_reported,ashp,AUPR_OUT,168,0.319105,0.294384,0.343826,0.970238
6,rsn_reported,ashs,AUROC,168,0.310652,0.290052,0.331253,0.982143
6,rsn_reported,ashs,FPR95,168,0.308476,0.271948,0.345004,0.916667
6,rsn_reported,ashs,AUPR_OUT,168,0.319141,0.293854,0.344427,0.970238
6,rsn_reported,dice,AUROC,168,0.123464,0.114601,0.132327,1.0
6,rsn_reported,dice,FPR95,168,0.216831,0.19255,0.241113,0.89881
6,rsn_reported,dice,AUPR_OUT,168,0.14786,0.137157,0.158563,1.0
6,rsn_reported,energy,AUROC,168,0.01681,0.00258,0.03104,0.446429
6,rsn_reported,energy,FPR95,168,0.118419,0.079945,0.156892,0.577381
6,rsn_reported,energy,AUPR_OUT,168,0.0427,0.0176,0.067799,0.482143
6,rsn_reported,entropy,AUROC,168,0.010124,-0.003134,0.023382,0.440476
6,rsn_reported,entropy,FPR95,168,0.117909,0.079602,0.156217,0.577381
6,rsn_reported,entropy,AUPR_OUT,168,0.037524,0.013188,0.06186,0.464286
