backbone,id_size,method,n,AUROC,FPR95,AUPR_OUT
ALL,5,knn,336,0.856499,0.6401,0.725532
ALL,5,mahalanobis,336,0.826339,0.773237,0.664185
ALL,5,mahalanobispp,336,0.823161,0.78212,0.659361
ALL,5,maxlogit,336,0.859113,0.679567,0.735371
ALL,5,msp,336,0.860744,0.681303,0.736174
ALL,5,nci,336,0.825011,0.762499,0.67296
ALL,5,openmax,336,0.865778,0.656373,0.746032
ALL,5,react,336,0.681473,0.838879,0.542362
ALL,5,rmd,336,0.845797,0.601826,0.756151
ALL,5,rsn_paper,336,0.847128,0.668904,0.713666
ALL,5,rsn_reported,336,0.862379,0.595234,0.741777
ALL,5,scale,336,0.846565,0.6705,0.72708
ALL,5,vim,336,0.826204,0.784752,0.659655
dinov2_vitb14,5,ashb,168,0.530483,0.928971,0.409754
dinov2_vitb14,5,ashp,168,0.558103,0.943373,0.408662
dinov2_vitb14,5,ashs,168,0.579037,0.929494,0.430694
dinov2_vitb14,5,dice,168,0.738833,0.869628,0.584819
dinov2_vitb14,5,energy,168,0.838981,0.680599,0.719593
dinov2_vitb14,5,entropy,168,0.844804,0.680456,0.723504
dinov2_vitb14,5,gen,168,0.840949,0.680586,0.720871
dinov2_vitb14,5,gradnorm,168,0.843324,0.688206,0.718434
dinov2_vitb14,5,kl_matching,168,0.833404,0.662589,0.724322
dinov2_vitb14,5,knn,168,0.841404,0.650118,0.704319
dinov2_vitb14,5,mahalanobis,168,0.80033,0.83254,0.624128
dinov2_vitb14,5,mahalanobispp,168,0.79607,0.844532,0.61715
dinov2_vitb14,5,maxlogit,168,0.852276,0.686162,0.72775
dinov2_vitb14,5,msp,168,0.854214,0.687084,0.728845
dinov2_vitb14,5,nci,168,0.804582,0.83287,0.632855
dinov2_vitb14,5,openmax,168,0.859188,0.657096,0.741044
dinov2_vitb14,5,react,168,0.725973,0.811116,0.585758
dinov2_vitb14,5,rmd,168,0.849325,0.584571,0.765397
dinov2_vitb14,5,rsn_paper,168,0.841902,0.674418,0.709413
dinov2_vitb14,5,rsn_reported,168,0.849583,0.608901,0.728329
