scope,id_size,method,n,AUROC,FPR95,AUPR_OUT,AUPR_OUT_BALANCED
id_size=7,7,rsn_delta100,48,0.8224590421475932,0.6853099181646286,0.38845535257566555,0.7562563845152042
id_size=7,7,rsn_delta200,48,0.8223498016667145,0.6867050206691019,0.38725466815186627,0.7557257179623486
id_size=7,7,rsn_delta300,48,0.8222200454360985,0.6877992594523518,0.3862527334248589,0.755292539188471
id_size=7,7,rsn_equalbank3000,48,0.813317921023477,0.7221983357225038,0.3735198296216673,0.7446681817027119
id_size=7,7,rsn_k100,48,0.8223149547938449,0.703862146530753,0.3879837437698072,0.7562783226813209
id_size=7,7,rsn_k25,48,0.8196281413348802,0.7338981887648938,0.37591668719429805,0.7538203974676123
id_size=7,7,rsn_k300,48,0.822592624764952,0.6928780130327405,0.38589009089584403,0.7549256956861122
id_size=7,7,rsn_k50,48,0.8213381543431426,0.7293223984471138,0.3838683449517338,0.7554611341653902
id_size=7,7,rsn_tau1e1,48,0.8224441046234521,0.6856568965060394,0.38808581154831173,0.7561002456091269
id_size=7,7,rsn_tau1e2,48,0.8224288435354953,0.6857278658321005,0.388057517974486,0.7560788304074793
id_size=7,7,rsn_tau1e4,48,0.8224288435354953,0.6857278658321005,0.388057517974486,0.7560788304074793
m2_m7_equal_weight,ALL,class_iqr_huber_k150,1476,0.8695226123180432,0.5673549714401686,0.7389487019901534,0.8291474404509543
m2_m7_equal_weight,ALL,class_mad_huber_k150,1476,0.8695279141525404,0.5672294723752822,0.7389494526636775,0.8292235982291777
m2_m7_equal_weight,ALL,class_std_euclidean_k150,636,0.8723686543360939,0.5618894318996528,0.7284398881130162,0.8293474326963599
m2_m7_equal_weight,ALL,class_std_squared_k150,1476,0.8699135726171892,0.5711598643242032,0.7377312856102778,0.8280808908403342
m2_m7_equal_weight,ALL,global_std_euclidean_k150,636,0.8729623925161505,0.5835011011058956,0.7233907218815375,0.8260465829204867
m2_m7_equal_weight,ALL,global_std_huber_k150,1476,0.8712615733063139,0.5870408698218406,0.7340541624046547,0.8263299459587913
