scope,method_a,method_b,metric,cluster_unit,n_clusters,mean_effect,ci_low,ci_high,permutation_p,good_rate
id_size=7,rsn_class_std_huber_k150,class_std_squared_k150,AUROC,id_set_after_seed_backbone_mean,8,0.0002994127760224859,3.6250815956609395e-05,0.0005638794236289916,0.07949205079492051,0.875
m2_m7_equal_weight,rsn_class_std_huber_k150,class_std_squared_k150,AUROC,id_set_stratified_by_id_size,246,0.0004783030084430193,0.0004277431988957538,0.0005308424687202995,9.999000099990002e-05,0.9715447154471545
id_size=2,rsn_class_std_huber_k150,class_std_squared_k150,FPR95,id_set_after_seed_backbone_mean,28,0.0071257174584154195,0.0051093606945110896,0.009326625435718015,9.999000099990002e-05,1.0
id_size=3,rsn_class_std_huber_k150,class_std_squared_k150,FPR95,id_set_after_seed_backbone_mean,56,0.00608735389030403,0.005121406184150042,0.007104542735236601,9.999000099990002e-05,1.0
id_size=4,rsn_class_std_huber_k150,class_std_squared_k150,FPR95,id_set_after_seed_backbone_mean,70,0.0047025941907565295,0.004104630831357474,0.005352399500157008,9.999000099990002e-05,0.9857142857142858
id_size=5,rsn_class_std_huber_k150,class_std_squared_k150,FPR95,id_set_after_seed_backbone_mean,56,0.004147658902783265,0.0035308172046266306,0.0047726703243662055,9.999000099990002e-05,0.9821428571428571
id_size=6,rsn_class_std_huber_k150,class_std_squared_k150,FPR95,id_set_after_seed_backbone_mean,28,0.003567748916605576,0.0026669923596389453,0.004531015314087464,9.999000099990002e-05,1.0
id_size=7,rsn_class_std_huber_k150,class_std_squared_k150,FPR95,id_set_after_seed_backbone_mean,8,0.0028125875610002533,0.000498379205422213,0.005594726695247628,0.0206979302069793,0.875
m2_m7_equal_weight,rsn_class_std_huber_k150,class_std_squared_k150,FPR95,id_set_stratified_by_id_size,246,0.004740610153310846,0.004153049753352459,0.0053924496656621995,9.999000099990002e-05,0.9878048780487805
id_size=2,rsn_class_std_huber_k150,class_std_squared_k150,AUPR_OUT,id_set_after_seed_backbone_mean,28,0.0010408260107651552,0.00082901291297236,0.0012706873231959717,9.999000099990002e-05,1.0
