method,ood_class,AUROC,FPR95,AUPR_OUT,AUPR_OUT_BALANCED
nnguide_k50,ocelot,0.8034814110782414,0.8774753799591071,0.42114710757075663,0.7097060955669016
nnguide_k50,puma,0.9247606569096709,0.5347686964227143,0.7423348781222681,0.868551671445396
nnguide_k50,serval,0.9083071892196483,0.5816137725388718,0.5763026738477122,0.867755540534697
nnguide_k50,tiger,0.9752686094873904,0.0824082287545126,0.9035276203718261,0.959521077863929
raw_classwise_huber_k150,cheetah,0.9219824850771785,0.6058589328165651,0.6124887204380984,0.8488594906392017
raw_classwise_huber_k150,jaguar,0.7561403491608958,0.7810992578081624,0.3874706963261365,0.6984021393553775
raw_classwise_huber_k150,leopard,0.7756759245146573,0.7627864812464513,0.4240794608727689,0.7115132771969869
raw_classwise_huber_k150,lion,0.9522593013321591,0.3604938183036065,0.7774614533087982,0.9031983144157106
raw_classwise_huber_k150,ocelot,0.8110983979112929,0.8579186661972843,0.4331023455071879,0.7189179238141927
raw_classwise_huber_k150,puma,0.9209063253861349,0.5207405002533859,0.7351376160363415,0.8632659940089978
raw_classwise_huber_k150,serval,0.907091395740008,0.583113127215242,0.5663784217995962,0.8627058339783689
raw_classwise_huber_k150,tiger,0.9777679891898289,0.05284234683733112,0.9236921446140168,0.9677815436701516
raw_classwise_squared_k150,cheetah,0.922003182455425,0.6039261576537966,0.6120122535830079,0.8485477316123574
raw_classwise_squared_k150,jaguar,0.7562229197195595,0.7812459939633112,0.38721020347741403,0.698127062129633
raw_classwise_squared_k150,leopard,0.7755349190565147,0.7630887329369613,0.4238108698682322,0.7111575441868984
raw_classwise_squared_k150,lion,0.9524559954386097,0.3516788284837836,0.7778906580371472,0.9034025651497831
raw_classwise_squared_k150,ocelot,0.8113258228733544,0.8578589448094737,0.43329922748715866,0.719013510660264
raw_classwise_squared_k150,puma,0.9208905817229401,0.5210812029235571,0.734220927814162,0.8626165666191858
raw_classwise_squared_k150,serval,0.9069990798905689,0.5827495920805716,0.5653959446025217,0.8621750725664138
raw_classwise_squared_k150,tiger,0.9776500667248357,0.0533120783238931,0.9228337427815124,0.967397879695774
raw_pooled_huber_k150,cheetah,0.9218034678413619,0.5869079076923149,0.6187994516881197,0.8524043521822864
raw_pooled_huber_k150,jaguar,0.7508333190533226,0.7994184763396556,0.3809365105298126,0.6926747760289094
raw_pooled_huber_k150,leopard,0.7744279491515412,0.7832420108004757,0.4178005601922617,0.7078516154451833
raw_pooled_huber_k150,lion,0.9516178773888162,0.3638879530701741,0.7775475600775335,0.9033194428392254
raw_pooled_huber_k150,ocelot,0.8072459315088382,0.8581553301371212,0.4304836339127627,0.7157865544290296
