backbone,id_size,method,ood_class,n,AUROC,FPR95,AUPR_OUT
ALL,5,diag_raw,ocelot,126,0.758929,0.935964,0.27749
ALL,5,diag_raw,puma,126,0.903707,0.683244,0.614339
ALL,5,diag_raw,serval,126,0.901795,0.635742,0.459065
ALL,5,diag_raw,tiger,126,0.972129,0.059375,0.872421
ALL,6,diag_raw,cheetah,42,0.911407,0.719981,0.432978
ALL,6,diag_raw,jaguar,42,0.675314,0.902403,0.182559
ALL,6,diag_raw,leopard,42,0.65219,0.899133,0.190155
ALL,6,diag_raw,lion,42,0.94393,0.359041,0.6496
ALL,6,diag_raw,ocelot,42,0.742376,0.953459,0.224567
ALL,6,diag_raw,puma,42,0.89808,0.725483,0.556593
ALL,6,diag_raw,serval,42,0.892675,0.695949,0.385687
ALL,6,diag_raw,tiger,42,0.9712,0.056183,0.848563
ALL,7,diag_raw,cheetah,6,0.908421,0.726019,0.385079
ALL,7,diag_raw,jaguar,6,0.643038,0.945311,0.131203
ALL,7,diag_raw,leopard,6,0.607674,0.959951,0.124762
ALL,7,diag_raw,lion,6,0.940922,0.365408,0.598866
ALL,7,diag_raw,ocelot,6,0.730074,0.962641,0.188532
ALL,7,diag_raw,puma,6,0.893336,0.763566,0.507368
ALL,7,diag_raw,serval,6,0.884331,0.749789,0.324482
ALL,7,diag_raw,tiger,6,0.970478,0.055574,0.824987
ALL,ALL,diag_raw,cheetah,720,0.922786,0.618449,0.610306
ALL,ALL,diag_raw,jaguar,720,0.765056,0.761951,0.403337
ALL,ALL,diag_raw,leopard,720,0.762195,0.732029,0.431552
ALL,ALL,diag_raw,lion,720,0.952829,0.33273,0.78361
ALL,ALL,diag_raw,ocelot,720,0.794155,0.857059,0.418809
ALL,ALL,diag_raw,puma,720,0.914334,0.603008,0.712858
ALL,ALL,diag_raw,serval,720,0.916551,0.545593,0.589897
ALL,ALL,diag_raw,tiger,720,0.974222,0.066219,0.906491
dinov2_vitb14,2,diag_raw,cheetah,63,0.92497,0.554547,0.7541
dinov2_vitb14,2,diag_raw,jaguar,63,0.833157,0.618297,0.639071
dinov2_vitb14,2,diag_raw,leopard,63,0.832617,0.587258,0.662731
dinov2_vitb14,2,diag_raw,lion,63,0.959848,0.266051,0.891785
dinov2_vitb14,2,diag_raw,ocelot,63,0.835404,0.724726,0.627299
dinov2_vitb14,2,diag_raw,puma,63,0.928675,0.47955,0.842976
dinov2_vitb14,2,diag_raw,serval,63,0.928609,0.45407,0.758378
dinov2_vitb14,2,diag_raw,tiger,63,0.973464,0.107919,0.939751
dinov2_vitb14,3,diag_raw,cheetah,105,0.914803,0.654031,0.632963
dinov2_vitb14,3,diag_raw,jaguar,105,0.780721,0.712003,0.47123
dinov2_vitb14,3,diag_raw,leopard,105,0.772243,0.68991,0.494545
dinov2_vitb14,3,diag_raw,lion,105,0.954304,0.276825,0.832116
dinov2_vitb14,3,diag_raw,ocelot,105,0.794249,0.837211,0.457252
dinov2_vitb14,3,diag_raw,puma,105,0.916583,0.566594,0.75288
dinov2_vitb14,3,diag_raw,serval,105,0.912711,0.532483,0.629703
dinov2_vitb14,3,diag_raw,tiger,105,0.970642,0.100389,0.904696
dinov2_vitb14,4,diag_raw,cheetah,105,0.907625,0.720012,0.533787
dinov2_vitb14,4,diag_raw,jaguar,105,0.733888,0.783694,0.342945
dinov2_vitb14,4,diag_raw,leopard,105,0.715607,0.769553,0.361098
dinov2_vitb14,4,diag_raw,lion,105,0.949469,0.303098,0.773507
dinov2_vitb14,4,diag_raw,ocelot,105,0.762892,0.906225,0.337727
dinov2_vitb14,4,diag_raw,puma,105,0.907511,0.632108,0.673114
dinov2_vitb14,4,diag_raw,serval,105,0.899758,0.599069,0.524037
dinov2_vitb14,4,diag_raw,tiger,105,0.968641,0.086529,0.870554
dinov2_vitb14,5,diag_raw,cheetah,63,0.902371,0.764861,0.457669
